date,Q_sim_m3s,Q_obs_m3s,P_mm,Period
1950-11-20,1.1847597653402286,0.88,2.0,Calibration
1950-11-21,0.5737348641837685,0.863,0.0,Calibration
1950-11-22,0.47103692528342,0.845,0.0,Calibration
1950-11-23,0.6033299796797134,0.831,1.0,Calibration
1950-11-24,0.4705055264094533,0.815,0.0,Calibration
1950-11-25,2.059444178276793,0.806,3.0,Calibration
1950-11-26,4.9047414704306185,0.804,6.0,Calibration
1950-11-27,1.627734697435881,0.794,2.0,Calibration
1950-11-28,23.12834875677272,1.266,27.0,Calibration
1950-11-29,7.254153559804266,0.857,6.0,Calibration
1950-11-30,2.663820706547907,0.857,3.0,Calibration
1950-12-01,5.878420742578627,0.877,7.0,Calibration
1950-12-02,20.6400080975746,4.458,24.0,Calibration
1950-12-03,6.171167451083769,0.944,5.0,Calibration
1950-12-04,3.5867469617042302,0.954,4.0,Calibration
1950-12-05,1.5717630609078619,0.95,2.0,Calibration
1950-12-06,0.7965098065014072,0.931,0.0,Calibration
1950-12-07,1.053563129065653,0.922,1.5,Calibration
1950-12-08,25.360604680336948,6.647,29.5,Calibration
1950-12-09,3.691169192636929,0.948,0.0,Calibration
1950-12-10,0.9735365019058451,0.929,0.0,Calibration
1950-12-11,14.938567475229563,4.365,18.0,Calibration
1950-12-12,7.2282868308286625,1.014,7.0,Calibration
1950-12-13,1.4563705206188116,0.994,0.0,Calibration
1950-12-14,0.777118164394335,0.974,0.0,Calibration
1950-12-15,3.0806864911057823,0.983,4.0,Calibration
1950-12-16,1.2069485323945697,0.972,1.3,Calibration
1950-12-17,22.374504394878674,6.319,26.1,Calibration
1950-12-18,3.3249919783768442,0.997,0.0,Calibration
1950-12-19,11.701964927123019,3.345,14.0,Calibration
1950-12-20,2.03167039722754,1.02,0.0,Calibration
1950-12-21,1.0432701991252578,1.01,1.3,Calibration
1950-12-22,9.970461825204543,2.175,11.79,Calibration
1950-12-23,2.4036642704731395,1.049,2.0,Calibration
1950-12-24,2.757637549089979,1.05,3.0,Calibration
1950-12-25,1.6143365043446671,1.043,2.0,Calibration
1950-12-26,0.8182028148959475,1.022,0.0,Calibration
1950-12-27,0.7007350737801706,1.002,0.0,Calibration
1950-12-28,0.6702870536196802,0.982,0.0,Calibration
1950-12-29,0.7207988460438508,0.966,0.8,Calibration
1950-12-30,0.6316525582842468,0.947,0.0,Calibration
1950-12-31,0.5950659189864175,0.928,0.0,Calibration
1951-01-01,0.5657672742908811,0.91,0.0,Calibration
1951-01-02,0.5368484471587681,0.891,0.0,Calibration
1951-01-03,2.976094862824122,0.888,4.0,Calibration
1951-01-04,14.590043245026136,0.939,17.4,Calibration
1951-01-05,2.213486700861825,0.916,0.0,Calibration
1951-01-06,0.6650459858097953,0.898,0.0,Calibration
1951-01-07,2.801225612268548,0.897,3.8,Calibration
1951-01-08,5.833809802100838,0.911,7.2,Calibration
1951-01-09,1.1560877994474639,0.892,0.0,Calibration
